Media path: 'srt://:1234?latency=170' --> 'udp://224.0.0.1:2255'
Accepted SRT source connection
Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
147712,409183999,8192,8192,0,80.639,3652.18,1000,0,0,0,0,0,0,0,12,5280,0,0,0,0,7179860,0,0,30.4897,170,0,0,0,0
149839,409183999,8192,8192,0,80.539,4235.3,1000,0,0,0,0,0,0,0,12,4728,0,0,0,0,6429140,0,0,24.1811,170,0,0,0,0
151837,409183999,8192,8192,0,80.665,3955.31,1000,0,0,0,0,0,0,0,12,4944,0,0,0,0,6722712,0,0,26.9146,170,0,0,0,0
154406,409183999,8192,8192,0,84.207,3789.48,1000,0,0,0,0,0,0,0,12,4978,58,0,116,58,6769704,73138,0,21.082,170,0,0,0,0
156050,409183999,8192,8192,0,82.387,4882.76,1000,0,0,0,0,0,0,0,12,4968,0,0,0,0,6753660,0,0,32.8585,170,0,0,0,0
158368,409183999,8192,8192,0,81.05,4520.56,1000,0,0,0,0,0,0,0,12,4944,0,0,0,0,6722524,0,0,23.2017,170,0,0,0,0
161633,409183999,8192,8192,0,80.514,4472.05,1000,0,0,0,0,0,0,0,12,5520,0,0,0,0,7504004,0,0,18.388,170,0,0,0,0
163003,409183999,8192,8192,0,81.686,4329.12,1000,0,0,0,0,0,0,0,12,4584,0,0,0,0,6231984,0,0,36.3872,170,0,0,0,0
165237,409183999,8192,8192,0,80.023,4901.41,1000,0,0,0,0,0,0,0,12,5190,30,0,30,30,7055956,37830,0,25.2648,170,0,0,0,0
166753,409183999,8192,8192,0,81.537,4546.58,1000,0,0,0,0,0,0,0,12,4975,55,0,110,55,6760548,69355,0,35.6793,170,0,0,0,0
168661,409183999,8192,8192,0,82.055,4125,1000,0,0,0,0,0,0,0,12,5184,0,0,0,0,7049488,0,0,29.5653,170,0,0,0,0
171442,409183999,8192,8192,0,87.275,4384.62,1000,0,0,0,0,0,0,0,12,4512,0,0,0,0,6135192,0,0,17.6455,170,0,0,0,0
174505,409183999,8192,8192,0,86.324,4320,1000,0,0,0,0,0,0,0,12,5088,4,0,0,0,6919116,5044,0,18.0723,170,0,0,0,0
176304,409183999,8192,8192,0,85.692,4645.16,1000,0,0,0,0,0,0,0,12,5154,18,0,36,18,7005492,22698,0,31.1557,170,0,0,0,0
178700,409183999,8192,8192,0,83.619,4433.12,1000,0,0,0,0,0,0,0,12,4936,16,0,16,16,6712020,20176,0,22.4134,170,0,0,0,0
180424,409183999,8192,8192,0,82.236,4135.6,1000,0,0,0,0,0,0,0,12,5184,0,0,0,0,7048924,0,0,32.7104,170,0,0,0,0
182745,409183999,8192,8192,0,82.449,5217.4,1000,0,0,0,0,0,0,0,12,5328,0,0,0,0,7245516,0,0,24.9712,170,0,0,0,0
184567,409183999,8192,8192,0,88.33,3683.17,1000,0,0,0,0,0,0,0,12,4560,0,0,0,0,6201224,0,0,27.2198,170,0,0,0,0
186137,409183999,8192,8192,0,79.763,3851.86,1000,0,0,0,0,0,0,0,12,5136,0,0,0,0,6983644,0,0,35.5939,170,0,0,0,0
188704,409183999,8192,8192,0,85.26,4290.91,1000,0,0,0,0,0,0,0,12,4849,18,18,36,36,6592384,22698,22698,20.5481,170,0,0,0,0
190986,409183999,8192,8192,0,83.073,4657.9,1000,0,0,0,0,0,0,0,12,5124,0,0,0,0,6966760,0,0,24.4191,170,0,0,0,0
193076,409183999,8192,8192,0,109.762,5007.2,1000,0,0,0,0,0,0,0,12,4733,0,0,0,0,6434812,0,0,24.6303,170,0,0,0,0
195070,409183999,8192,8192,0,82.525,4182.86,1000,0,0,0,0,0,0,0,12,5424,0,0,0,0,7373632,0,0,29.5854,170,0,0,0,0
196725,409183999,8192,8192,0,80.064,4602.74,1000,0,0,0,0,0,0,0,12,4992,0,0,0,0,6786488,0,0,32.8067,170,0,0,0,0
199233,409183999,8192,8192,0,87.223,4736.84,1000,0,0,0,0,0,0,0,12,4824,0,0,0,0,6560076,0,0,20.9255,170,0,0,0,0
201552,409183999,8192,8192,0,80.551,4463.42,1000,0,0,0,0,0,0,0,12,5090,2,0,2,2,6921460,2522,0,23.8781,170,0,0,0,0
203847,409183999,8192,8192,0,82.146,4634.48,1000,0,0,0,0,0,0,0,12,5117,0,0,0,0,6958368,0,0,24.2516,170,0,0,0,0
205689,409183999,8192,8192,0,84.288,4203.83,1000,0,0,0,0,0,0,0,12,4723,0,0,0,0,6421400,0,0,27.8908,170,0,0,0,0
207619,409183999,8192,8192,0,79.826,3497.5,1000,0,0,0,0,0,0,0,12,5304,0,0,0,0,7209868,0,0,29.8875,170,0,0,0,0
209678,409183999,8192,8192,0,80.081,4329.12,1000,0,0,0,0,0,0,0,12,4848,0,0,0,0,6590084,0,0,25.6098,170,0,0,0,0
212023,409183999,8192,8192,0,92.616,3724.14,1000,0,0,0,0,0,0,0,12,4651,19,0,38,19,6322728,23959,0,21.5686,170,0,0,0,0
214817,409183999,8192,8192,0,81.391,3302.76,1000,0,0,0,0,0,0,0,12,5448,0,0,0,0,7407964,0,0,21.2081,170,0,0,0,0
216349,409183999,8192,8192,0,80.283,4732.4,1000,0,0,0,0,0,0,0,12,5084,0,0,0,0,6910668,0,0,36.093,170,0,0,0,0
218520,409183999,8192,8192,0,81.777,4350,1000,0,0,0,0,0,0,0,12,4840,36,0,72,36,6581272,45396,0,24.2494,170,0,0,0,0
220240,409183999,8192,8192,0,79.74,4307.7,1000,0,0,0,0,0,0,0,12,5357,5,0,10,5,7284204,6305,0,33.8795,170,0,0,0,0
221793,409183999,8192,8192,0,79.669,3522.4,1000,0,0,0,0,0,0,0,12,5036,0,0,0,0,6845952,0,0,35.2585,170,0,0,0,0
223073,409183999,8192,8192,0,89.254,3277.79,1000,0,0,0,0,0,0,0,12,4298,60,0,120,60,5841332,75660,0,36.5214,170,0,0,0,0
225389,409183999,8192,8192,0,81.379,3677.42,1000,0,0,0,0,0,0,0,12,5379,13,0,26,13,7313372,16393,0,25.2655,170,0,0,0,0
227171,409183999,8192,8192,0,82.445,4226.42,1000,0,0,0,0,0,0,0,12,4992,0,0,0,0,6786112,0,0,30.4574,170,0,0,0,0
230821,409183999,8192,8192,0,82.133,3342.47,1000,0,0,0,0,0,0,0,12,5088,0,0,0,0,6919304,0,0,15.1667,170,0,0,0,0
232420,409183999,8192,8192,0,82.26,3769.64,1000,0,0,0,0,0,0,0,12,4980,0,0,0,0,6769228,0,0,33.8626,170,0,0,0,0
234630,409183999,8192,8192,0,80.923,3726.32,1000,0,0,0,0,0,0,0,12,5244,0,0,0,0,7131464,0,0,25.8205,170,0,0,0,0
236419,409183999,8192,8192,0,80.9,4941.18,1000,0,0,0,0,0,0,0,12,4728,0,0,0,0,6427824,0,0,28.7357,170,0,0,0,0
238047,409183999,8192,8192,0,83,4280.26,1000,0,0,0,0,0,0,0,12,5064,0,0,0,0,6881964,0,0,33.8196,170,0,0,0,0
239942,409183999,8192,8192,0,79.886,4621.13,1000,0,0,0,0,0,0,0,12,5184,0,0,0,0,7046856,0,0,29.7556,170,0,0,0,0
241862,409183999,8192,8192,0,81.686,2920.36,1000,0,0,0,0,0,0,0,12,4656,0,0,0,0,6329716,0,0,26.3638,170,0,0,0,0
244050,409183999,8192,8192,0,80.046,2800.01,1000,0,0,0,0,0,0,0,12,5636,13,0,13,0,7661952,16393,0,28.0165,170,0,0,0,0
245511,409183999,8192,8192,0,80.889,4114.3,1000,0,0,0,0,0,0,0,12,4664,39,0,91,52,6341912,49179,0,34.7266,170,0,0,0,0
247727,409183999,8192,8192,0,85.209,3333.34,1000,0,0,0,0,0,0,0,12,4728,0,0,0,0,6428200,0,0,23.2071,170,0,0,0,0
249974,409183999,8192,8192,0,80.408,3569.23,1000,0,0,0,0,0,0,0,12,5519,0,0,0,0,7503396,0,0,26.7187,170,0,0,0,0
251780,409183999,8192,8192,0,82.091,4992.71,1000,0,0,0,0,0,0,0,12,4751,9,0,18,9,6458728,11349,0,28.6059,170,0,0,0,0
253949,409183999,8192,8192,0,81.51,3929.83,1000,0,0,0,0,0,0,0,12,4859,0,0,0,0,6607300,0,0,24.3641,170,0,0,0,0
255808,409183999,8192,8192,0,80.033,3818.18,1000,0,0,0,0,0,0,0,12,5064,0,0,0,0,6881776,0,0,29.6241,170,0,0,0,0
257356,409183999,8192,8192,0,80.089,4265.06,1000,0,0,0,0,0,0,0,12,5107,0,0,0,0,6944580,0,0,35.8782,170,0,0,0,0
259822,409183999,8192,8192,0,81.716,5129.04,1000,0,0,0,0,0,0,0,12,4901,0,0,0,0,6663480,0,0,21.6226,170,0,0,0,0
261573,409183999,8192,8192,0,79.532,4882.76,1000,0,0,0,0,0,0,0,12,5090,2,0,4,2,6920520,2522,0,31.6159,170,0,0,0,0
263158,409183999,8192,8192,0,84.517,3914.45,1000,0,0,0,0,0,0,0,12,4720,64,0,128,64,6417508,80704,0,32.386,170,0,0,0,0
265451,409183999,8192,8192,0,80.367,3721.93,1000,0,0,0,0,0,0,0,12,5280,0,0,0,0,7179484,0,0,25.0491,170,0,0,0,0
267395,409183999,8192,8192,0,82.172,3717.4,1000,0,0,0,0,0,0,0,12,5048,45,0,115,79,6863776,56745,0,28.2502,170,0,0,0,0
270117,409183999,8192,8192,0,80.818,4444.45,1000,0,0,0,0,0,0,0,12,5016,0,0,0,0,6818188,0,0,20.0393,170,0,0,0,0
271921,409183999,8192,8192,0,79.836,3678.4,1000,0,0,0,0,0,0,0,12,5064,2,0,2,0,6887040,2522,0,30.5293,170,0,0,0,0
273755,409183999,8192,8192,0,81.743,4767.13,1000,0,0,0,0,0,0,0,12,4951,0,0,0,0,6729224,0,0,29.3673,170,0,0,0,0
275758,409183999,8192,8192,0,85.223,4192.78,1000,0,0,0,0,0,0,0,12,5153,0,0,0,0,7005636,0,0,27.9678,170,0,0,0,0
277205,409183999,8192,8192,0,80.829,3323.09,1000,0,0,0,0,0,0,0,12,4574,14,0,28,14,6217632,17654,0,34.3935,170,0,0,0,0
279741,409183999,8192,8192,0,80.851,3978.61,1000,0,0,0,0,0,0,0,12,5496,0,0,0,0,7472492,0,0,23.5665,170,0,0,0,0
282243,409183999,8192,8192,0,81.316,2987.14,1000,0,0,0,0,0,0,0,12,4807,55,0,110,55,6536016,69355,0,20.8994,170,0,0,0,0
285011,409183999,8192,8192,0,82.778,4867.14,1000,0,0,0,0,0,0,0,12,5112,0,0,0,0,6951004,0,0,20.0892,170,0,0,0,0
286899,409183999,8192,8192,0,83.041,4000.01,1000,0,0,0,0,0,0,0,12,4728,0,0,0,0,6430080,0,0,27.2545,170,0,0,0,0
289164,409183999,8192,8192,0,85.201,4560,1000,0,0,0,0,0,0,0,12,5016,0,0,0,0,6817248,0,0,24.078,170,0,0,0,0
291463,409183999,8192,8192,0,83.35,4441.56,1000,0,0,0,0,0,0,0,12,5444,44,0,88,44,7399892,55484,0,25.7463,170,0,0,0,0
293384,409183999,8192,8192,0,94.297,4891.73,1000,0,0,0,0,0,0,0,12,4416,0,0,0,0,6002752,0,0,24.9968,170,0,0,0,0
295398,409183999,8192,8192,0,81.1,4862.75,1000,0,0,0,0,0,0,0,12,5410,0,0,0,0,7356848,0,0,29.2314,170,0,0,0,0
297263,409183999,8192,8192,0,79.407,4783.79,1000,0,0,0,0,0,0,0,12,5054,0,0,0,0,6870808,0,0,29.4681,170,0,0,0,0
299746,409183999,8192,8192,0,80.208,3786.11,1000,0,0,0,0,0,0,0,12,4920,0,0,0,0,6688192,0,0,21.5501,170,0,0,0,0
301143,409183999,8192,8192,0,79.985,4852.94,1000,0,0,0,0,0,0,0,12,4956,60,0,119,60,6736400,75660,0,38.5752,170,0,0,0,0
